img_no,outlier,anomaly_score
125,False,-0.03943809964071948
126,False,-0.03795034721802909
127,False,-0.036679376888386794
128,False,-0.034230726811401435
129,False,-0.03891286909889419
130,False,-0.036021406802646705
131,False,-0.038492945063225814
132,False,-0.03519577816437919
133,False,-0.03523609325598914
134,False,-0.033436256501190253
135,False,-0.036526205989830085
136,False,-0.03778024114977557
137,False,-0.03535002939712245
138,False,-0.03737233117531974
139,False,-0.03392869144987304
140,False,-0.03544034533511836
141,False,-0.02942600943457324
142,False,-0.0372174187035485
143,False,-0.035069436806552
144,False,-0.03674902491580684
145,False,-0.03754363492440421
146,False,-0.037516896653287
147,False,-0.037363098043315
148,False,-0.03570576295565803
149,False,-0.037761201191060134
150,False,-0.03565264217864711
151,False,-0.03888610475074489
152,False,-0.03386152260314662
153,False,-0.032986556220166274
154,False,-0.029886969405524322
155,False,-0.03562924921821792
156,False,-0.029132721054665633
157,False,-0.030496434348933288
158,False,-0.02832112931024272
159,False,-0.0261092624099179
160,False,-0.027818645390979835
161,False,-0.021788376423828193
162,False,-0.016300926956646034
163,False,-0.008912707719318458
164,False,-0.02605232134770591
165,False,-0.029066857922188827
166,False,-0.032694916281215736
167,False,-0.027179959270469733
168,False,-0.03150159962784488
169,False,-0.031495477113239356
170,False,-0.030544861260168144
171,False,-0.028524328994862624
172,False,-0.02898629665683944
173,False,-0.031510035547725745
174,False,-0.028417873236648628
175,False,-0.028507274615876266
176,False,-0.02397402659367759
177,False,-0.032422245520464965
178,False,-0.03216898538481433
179,False,-0.029121981042735168
180,False,-0.03211588882219035
181,False,-0.03076675258886058
182,False,-0.030977330210916587
183,False,-0.030799946788065025
184,False,-0.033152150961868354
185,False,-0.02908775121282775
186,False,-0.031305930617563316
187,False,-0.026416053104512283
188,False,-0.03148675248336036
189,False,-0.02903654896032054
190,False,-0.03149117440294463
191,False,-0.03194155827473838
192,False,-0.02964018941234786
193,False,-0.029605639207474777
194,False,-0.02428609788727004
195,False,-0.02784461997758586
196,False,-0.030542076605670043
197,False,-0.03315764203976829
198,False,-0.030062527436129638
199,False,-0.030299766960851737
200,False,-0.029812500852458068
201,False,-0.03077663392137725
202,False,-0.03214634493302543
203,False,-0.03436645217549045
204,False,-0.03376042381238181
205,False,-0.03271121256362636
206,False,-0.03600314915489394
207,False,-0.034132055047266074
208,False,-0.03503931410919864
209,False,-0.031857674050442764
210,False,-0.03282027602504928
211,False,-0.03330150716315944
212,False,-0.0347147314281388
213,False,-0.035923752042762824
214,False,-0.03286824472557742
215,False,-0.03362704538118083
216,False,-0.03227868773352344
217,False,-0.03420516200672824
218,False,-0.03265808619867999
219,False,-0.03561677322100837
220,False,-0.029397129121534415
221,False,-0.0324136810780688
222,False,-0.03092084177147586
223,False,-0.03416854612838466
224,False,-0.031860915053002425
225,False,-0.027803636196367332
226,False,-0.02812303699862201
227,False,-0.026459104421846458
228,False,-0.029020887839905807
229,False,-0.02779322587262828
230,False,-0.028772438916675636
231,False,-0.02710931472789485
232,False,-0.03277878374170501
233,False,-0.02869060918997962
234,False,-0.02979016214918334
235,False,-0.027822463813535758
236,False,-0.02636621617089946
237,False,-0.0274712862850352
238,False,-0.0279151229591294
239,False,-0.03345157303225238
240,False,-0.027964261400811263
241,False,-0.03030073181103904
242,False,-0.024031098041050025
243,False,-0.03142565958511073
244,False,-0.029885296750180312
245,False,-0.031837153288833686
246,False,-0.034905337768904754
247,False,-0.030306571203581878
248,False,-0.032892893108837196
249,False,-0.03142116502236564
250,False,-0.03368083857309062
251,False,-0.03064591534744937
252,False,-0.036106932017318794
253,False,-0.03227608189295966
254,False,-0.03479778863798816
255,False,-0.03238682546030719
